caseId,expected,route,jev_correct,gemini_correct,cascade_correct,chosen_status,nativeConfidence,accounted_usd,simulated_ms
test-1180,why_verify_identity,jev,True,True,True,ok,1,6.7452e-05,326.5553549999968
test-1181,why_verify_identity,gemini,True,True,True,ok,0.99,0.000671202,1751.8077040000353
test-1189,why_verify_identity,gemini,False,True,True,ok,0.37,0.00069666,1691.4761300000828
test-1197,why_verify_identity,gemini,True,True,True,ok,0.75,0.0006733679999999999,2301.9706000000006
test-1207,unable_to_verify_identity,gemini,True,True,True,ok,0.9,0.000696618,1688.6837189999933
test-1211,unable_to_verify_identity,gemini,True,True,True,ok,0.96,0.000692076,5084.0194870000705
test-1218,unable_to_verify_identity,gemini,True,True,True,ok,0.96,0.000947076,1867.0349049998913
test-1224,unable_to_verify_identity,gemini,False,True,True,ok,0.62,0.000696618,1667.4564210000099
test-1226,unable_to_verify_identity,gemini,True,True,True,ok,0.97,0.000696828,1938.0798779999604
test-1232,unable_to_verify_identity,gemini,True,True,True,ok,0.95,0.00067116,1855.7125159999705
test-1240,get_physical_card,gemini,False,False,False,ok,0.91,0.0006929099999999999,1765.1782559999265
test-1244,get_physical_card,gemini,False,False,False,ok,0.66,0.000695286,2913.483784999815
test-125,card_payment_wrong_exchange_rate,gemini,False,False,False,ok,0.8,0.000702204,1723.1243569999351
test-1253,get_physical_card,gemini,False,False,False,ok,0.62,0.00070062,1782.695931000002
test-1257,get_physical_card,gemini,False,False,False,ok,0.9,0.00067041,4769.756079999992
test-1268,get_physical_card,gemini,False,False,False,ok,0.38,0.000691326,1985.3135350000812
test-1270,get_physical_card,gemini,False,False,False,ok,0.7,0.000691326,1454.7281170000788
test-1275,get_physical_card,gemini,False,False,False,ok,0.93,0.0006937019999999999,2494.158556999988
test-128,card_payment_wrong_exchange_rate,gemini,True,True,True,ok,0.98,0.00070062,1989.5448359999991
test-1285,visa_or_mastercard,gemini,True,False,False,ok,0.49,0.000696702,1750.9074550000369
test-1287,visa_or_mastercard,gemini,True,True,True,ok,0.96,0.0006950760000000001,1672.1412000000018
test-1291,visa_or_mastercard,jev,True,True,True,ok,1,6.7284e-05,358.5919330000179
test-1297,visa_or_mastercard,gemini,False,False,False,ok,0.72,0.000694284,2298.5540129999863
test-1298,visa_or_mastercard,gemini,True,True,True,ok,0.98,0.000672576,1757.847945000045
test-1303,visa_or_mastercard,gemini,True,False,False,ok,0.91,0.000697452,1494.2771440000506
test-1319,visa_or_mastercard,gemini,True,True,True,ok,0.97,0.00100041,2652.4417829999584
test-1320,topping_up_by_card,jev,True,True,True,ok,1,6.7494e-05,442.9597850000009
test-1322,topping_up_by_card,jev,True,True,True,ok,1,6.7368e-05,294.28173699998297
test-1325,topping_up_by_card,gemini,False,False,False,ok,0.6,0.000694284,3507.10094699997
test-1337,topping_up_by_card,gemini,False,False,False,ok,0.95,0.000704496,1800.9070509999874
test-1340,topping_up_by_card,gemini,False,True,True,ok,0.6,0.0006765359999999999,1736.7248959999997
test-1356,topping_up_by_card,gemini,False,False,False,ok,0.67,0.000671202,1627.0041930000298
test-1357,topping_up_by_card,gemini,False,False,False,ok,0.63,0.000699786,2560.9443210000027
test-1363,disposable_card_limits,gemini,True,True,True,ok,0.89,0.000699828,1774.195520999987
test-1367,disposable_card_limits,gemini,True,True,True,ok,0.7,0.000698244,1969.3014079999994
test-1371,disposable_card_limits,jev,True,True,True,ok,1,6.7536e-05,406.84809799998766
test-1376,disposable_card_limits,jev,True,True,True,ok,1,6.7704e-05,364.4838610000006
test-1378,disposable_card_limits,jev,True,True,True,ok,1,6.7578e-05,313.7823560000397
test-1386,disposable_card_limits,gemini,True,True,True,ok,0.89,0.0006958680000000001,1834.9762979999996
test-139,card_payment_wrong_exchange_rate,gemini,True,True,True,ok,0.96,0.00069687,2016.5973130000057
test-1398,disposable_card_limits,jev,True,True,True,ok,1,6.7494e-05,347.4741529999301
test-1414,compromised_card,gemini,True,True,True,ok,0.75,0.000704538,1948.551788999932
test-1417,compromised_card,gemini,True,True,True,ok,0.96,0.0006885000000000001,1758.2582650000113
test-1423,compromised_card,gemini,True,True,True,ok,0.98,0.000679704,2208.1006179999968
test-1428,compromised_card,gemini,True,True,True,ok,0.81,0.000710082,1636.466042
test-1430,compromised_card,gemini,True,True,True,ok,0.69,0.0006757439999999999,1844.4834070000215
test-1438,compromised_card,gemini,False,True,True,ok,0.62,0.0006765359999999999,1585.011885999993
test-1443,atm_support,jev,True,True,True,ok,1,6.7368e-05,307.70814699999755
test-1447,atm_support,gemini,True,True,True,ok,0.99,0.000692076,2385.438036000007
test-1455,atm_support,gemini,True,True,True,ok,0.99,0.0006733679999999999,1703.5319890000974
test-1458,atm_support,gemini,True,True,True,ok,0.92,0.000695286,1882.1165919999767
test-1470,atm_support,gemini,True,True,True,ok,0.94,0.0006950760000000001,1868.3887629999954
test-1476,atm_support,gemini,True,True,True,ok,0.99,0.0006950760000000001,1915.6720399999904
test-1480,direct_debit_payment_not_recognised,jev,True,True,True,ok,1,6.7704e-05,346.46311200002674
test-1485,direct_debit_payment_not_recognised,gemini,False,False,False,ok,0.65,0.000722214,1568.3705469999986
test-1486,direct_debit_payment_not_recognised,gemini,False,False,False,ok,0.53,0.00068895,2183.2544999999227
test-1497,direct_debit_payment_not_recognised,jev,True,True,True,ok,1,6.7368e-05,310.1386459999485
test-1500,direct_debit_payment_not_recognised,jev,True,True,True,ok,1,6.7662e-05,436.2058660000039
test-1506,direct_debit_payment_not_recognised,gemini,False,False,False,ok,0.74,0.000678078,1937.7109309999505
test-151,card_payment_wrong_exchange_rate,gemini,True,True,True,ok,0.99,0.000699246,1625.0018929999787
test-1515,direct_debit_payment_not_recognised,gemini,True,True,True,ok,0.97,0.000702996,1614.0726140000043
test-152,card_payment_wrong_exchange_rate,gemini,True,True,True,ok,0.99,0.000697662,1748.7188239999814
test-1522,passcode_forgotten,jev,True,True,True,ok,1,6.7368e-05,287.3477769999881
test-1527,passcode_forgotten,gemini,True,True,True,ok,0.96,0.000690576,1792.5380830001086
test-1537,passcode_forgotten,gemini,True,True,True,ok,0.97,0.0006742019999999999,1897.502931999974
test-154,card_payment_wrong_exchange_rate,gemini,True,True,True,ok,0.99,0.000699828,1944.5211119999876
test-1544,passcode_forgotten,gemini,True,True,True,ok,0.98,0.000697494,1838.0559000000358
test-1549,passcode_forgotten,gemini,True,True,True,ok,0.99,0.0006742019999999999,1793.0691309999966
test-1555,passcode_forgotten,gemini,True,True,True,ok,0.96,0.00069591,2647.8420229999756
test-1562,declined_cash_withdrawal,gemini,False,True,True,ok,0.97,0.000725046,1907.7971100000432
test-1563,declined_cash_withdrawal,gemini,True,True,True,ok,0.99,0.0006958680000000001,1840.9144970000489
test-1564,declined_cash_withdrawal,gemini,True,True,True,ok,0.97,0.001047576,2264.6676039999584
test-1568,declined_cash_withdrawal,gemini,True,True,True,ok,0.91,0.000984828,3690.0684940000065
test-1572,declined_cash_withdrawal,jev,True,True,True,ok,1,6.7746e-05,408.4523679999984
test-1573,declined_cash_withdrawal,gemini,True,True,True,ok,0.74,0.0006749099999999999,1692.2118790000095
test-1594,declined_cash_withdrawal,jev,True,True,True,ok,1,6.8628e-05,375.76626000000397
test-16,card_arrival,gemini,True,True,True,ok,0.72,0.000698994,1872.3818449999962
test-1601,pending_card_payment,gemini,True,True,True,ok,0.98,0.000690534,1511.8799119999749
test-1602,pending_card_payment,jev,True,True,True,ok,1,6.7326e-05,325.7445460000308
test-1604,pending_card_payment,jev,True,True,True,ok,1,6.741e-05,304.8602859999519
test-1616,pending_card_payment,gemini,True,True,True,ok,0.99,0.000694284,1696.5967090000631
test-1620,pending_card_payment,jev,True,True,True,ok,1,6.7536e-05,307.5010559999937
test-1627,pending_card_payment,gemini,True,True,True,ok,0.27,0.002274204,3063.491861999966
test-1644,lost_or_stolen_phone,gemini,True,True,True,ok,0.86,0.0007037879999999999,2153.1286550000077
test-1646,lost_or_stolen_phone,jev,True,True,True,ok,1,6.7536e-05,311.2480050000013
test-1654,lost_or_stolen_phone,gemini,True,True,True,ok,0.92,0.000701412,1886.3016849999995
test-1660,lost_or_stolen_phone,gemini,True,True,True,ok,0.98,0.000677328,1789.603991999873
test-167,extra_charge_on_statement,gemini,True,True,True,ok,0.83,0.0006749519999999999,1692.1892680000747
test-1673,lost_or_stolen_phone,jev,True,True,True,ok,1,6.7788e-05,325.15094600000884
test-1678,lost_or_stolen_phone,gemini,False,True,True,ok,0.47,0.001052286,1955.3798919999972
test-168,extra_charge_on_statement,jev,True,True,True,ok,1,6.741e-05,319.0431849999586
test-1682,request_refund,jev,True,True,True,ok,1,6.72e-05,388.0243400000036
test-1686,request_refund,jev,True,True,True,ok,1,6.741e-05,347.2714639999904
test-1694,request_refund,jev,True,True,True,ok,1,6.7326e-05,384.93072999990545
test-1707,request_refund,jev,True,True,True,ok,1,6.7704e-05,327.4781250000233
test-1714,request_refund,gemini,True,True,True,ok,0.64,0.000706956,4000.6425349999918
test-1719,request_refund,gemini,True,True,True,ok,0.51,0.00069666,1728.8310269999783
test-1729,declined_transfer,gemini,True,True,True,ok,0.99,0.000693492,1814.9050690000877
test-1730,declined_transfer,gemini,False,False,False,ok,0.99,0.000680496,1651.9451710000285
test-1731,declined_transfer,gemini,True,True,True,ok,0.97,0.000710124,1793.6810300000361
test-1733,declined_transfer,gemini,True,True,True,ok,0.99,0.000692118,3230.3618099999985
test-1736,declined_transfer,gemini,False,False,False,ok,0.82,0.00067041,1700.5404080000008
test-1741,declined_transfer,gemini,True,True,True,ok,0.97,0.000706164,1907.4593610000156
test-1746,declined_transfer,gemini,True,True,True,ok,0.96,0.000673578,2031.894501999952
test-176,extra_charge_on_statement,gemini,True,True,True,ok,0.99,0.000699828,1825.5392060000013
test-1760,Refund_not_showing_up,jev,True,True,True,ok,1,6.7452e-05,412.64796800003387
test-1762,Refund_not_showing_up,gemini,True,True,True,ok,0.96,0.000701412,1723.9780060000485
test-1765,Refund_not_showing_up,gemini,True,True,True,ok,0.99,0.0007235879999999999,1968.4103860000614
test-177,extra_charge_on_statement,gemini,True,True,True,ok,0.95,0.000699828,1907.880681999959
test-1771,Refund_not_showing_up,jev,True,True,True,ok,1,6.7452e-05,305.9824859999935
test-1793,Refund_not_showing_up,jev,True,True,True,ok,1,6.72e-05,376.94965100008994
test-1799,Refund_not_showing_up,jev,True,True,True,ok,1,6.762e-05,406.8118089999771
test-1809,declined_card_payment,gemini,True,True,True,ok,0.99,0.000715626,1609.239155999967
test-1814,declined_card_payment,gemini,False,True,True,ok,0.61,0.000692076,2261.6231849999167
test-1818,declined_card_payment,gemini,True,True,True,ok,0.99,0.000699036,2508.431443999987
test-1820,declined_card_payment,gemini,True,True,True,ok,0.98,0.001055994,1673.8223820000421
test-1825,declined_card_payment,gemini,True,True,True,ok,0.84,0.0006764939999999999,2541.3434020000277
test-1838,declined_card_payment,gemini,True,True,True,ok,0.55,0.00067041,1859.635425999877
test-1840,pending_transfer,jev,True,True,True,ok,1,6.7368e-05,519.9305189999286
test-1852,pending_transfer,jev,True,True,True,ok,1,6.741e-05,283.8732080000045
test-1856,pending_transfer,gemini,True,True,True,ok,0.88,0.001524618,2865.088448000024
test-1869,pending_transfer,gemini,True,True,True,ok,0.93,0.0006812879999999999,1753.432412999915
test-1872,pending_transfer,gemini,True,True,True,ok,0.86,0.00067041,2434.6113009998808
test-1874,pending_transfer,gemini,True,False,False,ok,0.42,0.0006958680000000001,1711.530885999964
test-1876,pending_transfer,gemini,True,False,False,ok,0.44,0.000697452,1681.548572999891
test-1884,terminate_account,jev,True,True,True,ok,1,6.7536e-05,301.0463180000661
test-1891,terminate_account,jev,True,True,True,ok,1,6.7494e-05,304.90318500006106
test-1899,terminate_account,jev,True,True,True,ok,1,6.7452e-05,365.13337200001115
test-190,extra_charge_on_statement,gemini,True,True,True,ok,0.98,0.000699786,1895.2348630000488
test-1901,terminate_account,jev,True,True,True,ok,1,6.7326e-05,294.7762469999998
test-1905,terminate_account,jev,True,True,True,ok,1,6.7662e-05,314.2116050000186
test-1908,terminate_account,jev,True,True,True,ok,1,6.7452e-05,357.93831199995475
test-1921,card_swallowed,gemini,True,True,True,ok,0.87,0.000671202,1659.113912000088
test-1926,card_swallowed,jev,True,True,True,ok,1,6.7662e-05,394.94303899999795
test-1929,card_swallowed,gemini,True,True,True,ok,0.99,0.000695286,1623.06225300004
test-1935,card_swallowed,jev,True,True,True,ok,1,6.7284e-05,355.3152520000003
test-1950,card_swallowed,gemini,True,True,True,ok,0.96,0.000673536,1816.8730399999768
test-1955,card_swallowed,jev,True,True,True,ok,1,6.8166e-05,337.85254300001543
test-196,extra_charge_on_statement,gemini,False,False,False,ok,0.64,0.000706122,2621.73074499995
test-1964,transaction_charged_twice,gemini,True,True,True,ok,0.97,0.000691284,1855.8851769999892
test-1969,transaction_charged_twice,jev,True,True,True,ok,1,6.846e-05,392.75665900006425
test-1979,transaction_charged_twice,jev,True,True,True,ok,1,6.7704e-05,331.53059400001075
test-1981,transaction_charged_twice,jev,True,True,True,ok,1,6.7326e-05,359.2695919999387
test-1984,transaction_charged_twice,gemini,True,True,True,ok,0.99,0.00070875,1947.4360299999826
test-1989,transaction_charged_twice,jev,True,True,True,ok,1,6.7494e-05,322.1743940000015
test-1999,transaction_charged_twice,jev,True,True,True,ok,1,6.7704e-05,343.79048400000465
test-2,card_arrival,gemini,True,True,True,ok,0.99,0.000699828,2166.640475999913
test-2004,verify_source_of_funds,gemini,True,True,True,ok,0.86,0.000655992,3266.6211179998936
test-2011,verify_source_of_funds,gemini,True,True,True,ok,0.97,0.0006929099999999999,1724.3638149999315
test-2017,verify_source_of_funds,gemini,True,True,True,ok,0.95,0.00203916,3488.6676680000965
test-2020,verify_source_of_funds,gemini,True,True,True,ok,0.92,0.0006757439999999999,1816.1384499999986
test-2022,verify_source_of_funds,gemini,True,True,True,ok,0.84,0.00070062,1828.8121779999929
test-2029,verify_source_of_funds,gemini,True,True,True,ok,0.95,0.000673578,2208.815348000033
test-2033,verify_source_of_funds,jev,True,True,True,ok,1,6.7452e-05,381.92411100000027
test-204,pending_cash_withdrawal,jev,True,True,True,ok,1,6.7452e-05,315.33349600003567
test-2043,transfer_timing,gemini,True,False,False,ok,0.82,0.0006757439999999999,1563.3489270000136
test-2046,transfer_timing,jev,True,True,True,ok,1,6.7326e-05,339.4330840000184
test-2053,transfer_timing,gemini,True,False,False,ok,0.68,0.0006749519999999999,1847.9537370000035
test-2054,transfer_timing,jev,True,True,True,ok,1,6.7914e-05,331.55425499999546
test-2057,transfer_timing,gemini,True,True,True,ok,0.79,0.000702204,2042.994841000007
test-206,pending_cash_withdrawal,gemini,True,True,True,ok,0.99,0.000683082,1691.505819000071
test-2060,transfer_timing,gemini,True,True,True,ok,0.97,0.00070062,1720.4636270000192
test-207,pending_cash_withdrawal,jev,True,True,True,ok,1,6.8376e-05,358.8356719999574
test-2076,transfer_timing,jev,True,True,True,ok,1,6.7536e-05,487.0212820000015
test-2080,reverted_card_payment?,gemini,False,False,False,ok,0.85,0.001022118,2093.487138999859
test-2082,reverted_card_payment?,gemini,True,True,True,ok,0.93,0.000670992,2223.2961880000075
test-2087,reverted_card_payment?,gemini,True,True,True,ok,0.72,0.000708924,1916.2534620000224
test-2095,reverted_card_payment?,jev,True,True,True,ok,1,6.7452e-05,287.46412800002145
test-2101,reverted_card_payment?,gemini,False,True,True,ok,0.57,0.000698244,1539.1046410000417
test-2107,reverted_card_payment?,gemini,True,True,True,ok,0.88,0.001014618,1840.2057979999809
test-2109,reverted_card_payment?,gemini,False,False,False,ok,0.58,0.000698244,1779.2682720000007
test-2123,change_pin,jev,True,True,True,ok,1,6.7536e-05,335.07604499999434
test-2126,change_pin,gemini,True,True,True,ok,0.99,0.000698454,1725.2425159999402
test-2129,change_pin,jev,True,True,True,ok,1,6.7998e-05,364.4464620000217
test-2135,change_pin,jev,True,True,True,ok,1,6.7494e-05,395.6510100000014
test-2138,change_pin,jev,True,True,True,ok,1,6.7368e-05,336.0800740000559
test-2144,change_pin,jev,True,True,True,ok,1,6.7326e-05,292.2740169999888
test-2145,change_pin,jev,True,True,True,ok,1,6.7326e-05,265.8963600000134
test-2166,beneficiary_not_allowed,jev,False,False,False,ok,1,6.7494e-05,344.87852300005034
test-2175,beneficiary_not_allowed,gemini,False,True,True,ok,0.53,0.000696702,2193.5967989999335
test-2188,beneficiary_not_allowed,gemini,True,True,True,ok,0.89,0.0006937019999999999,2354.1716679999954
test-219,pending_cash_withdrawal,gemini,True,True,True,ok,0.7,0.0007219619999999999,1716.8304680000292
test-2192,beneficiary_not_allowed,gemini,True,True,True,ok,0.67,0.000698994,1848.5904200000223
test-2197,beneficiary_not_allowed,gemini,False,False,False,ok,0.21,0.000702954,1668.1235009999364
test-2198,beneficiary_not_allowed,gemini,False,False,False,ok,0.98,0.000698412,1720.5801269999938
test-2202,transfer_fee_charged,jev,True,True,True,ok,1,6.7536e-05,320.8699659999693
test-2205,transfer_fee_charged,gemini,True,True,True,ok,0.99,0.000672576,4114.682382000028
test-2224,transfer_fee_charged,jev,True,True,True,ok,1,6.7368e-05,450.72264499997254
test-2225,transfer_fee_charged,gemini,True,True,True,ok,0.99,0.0006944939999999999,1916.4162009999998
test-2229,transfer_fee_charged,jev,True,True,True,ok,1,6.7326e-05,386.2293999999529
test-2234,transfer_fee_charged,gemini,True,False,False,ok,0.75,0.0007267560000000001,1741.8698159999913
test-2235,transfer_fee_charged,jev,True,True,True,ok,1,6.7536e-05,333.5534340000013
test-2248,receiving_money,gemini,False,False,False,ok,0.73,0.00070062,2549.8063659999752
test-225,pending_cash_withdrawal,jev,True,True,True,ok,1,6.7578e-05,283.5716189999948
test-2251,receiving_money,gemini,True,True,True,ok,0.98,0.0006950760000000001,3310.9452850000234
test-2252,receiving_money,gemini,False,False,False,ok,0.89,0.000671784,2002.5581749999837
test-2254,receiving_money,gemini,True,True,True,ok,0.68,0.000697662,2268.85629299999
test-2255,receiving_money,gemini,True,True,True,ok,0.78,0.000697452,1716.4050859999843
test-226,pending_cash_withdrawal,jev,True,True,True,ok,1,6.741e-05,447.4729749999824
test-2270,receiving_money,gemini,False,True,True,ok,0.71,0.000698244,2223.2328160000325
test-2273,receiving_money,gemini,True,True,True,ok,0.83,0.00067041,1775.0835009999864
test-2280,failed_transfer,jev,True,True,True,ok,1,6.7242e-05,338.6593540000031
test-2288,failed_transfer,gemini,True,True,True,ok,0.97,0.0006958680000000001,1766.9608350000344
test-2305,failed_transfer,gemini,True,False,False,ok,0.77,0.0006958680000000001,1696.123449000006
test-2306,failed_transfer,gemini,True,True,True,ok,0.84,0.000727464,1946.6657600000035
test-2308,failed_transfer,gemini,True,True,True,ok,0.99,0.000706122,2024.366093999939
test-2312,failed_transfer,gemini,True,True,True,ok,0.99,0.000690708,1718.3838580000447
test-2320,transfer_into_account,gemini,True,True,True,ok,0.98,0.000682872,1720.7827490000054
test-2327,transfer_into_account,gemini,True,True,True,ok,0.8,0.000706122,1713.0014069999743
test-2328,transfer_into_account,gemini,True,True,True,ok,0.42,0.001588578,2656.1937839998864
test-2346,transfer_into_account,gemini,True,True,True,ok,0.98,0.00069666,1944.8311990000366
test-2351,transfer_into_account,gemini,True,True,True,ok,0.68,0.000671784,1832.7318080000696
test-2356,transfer_into_account,gemini,True,True,True,ok,0.92,0.000695286,1802.0845319998916
test-2358,transfer_into_account,jev,True,True,True,ok,1,6.7662e-05,423.50568700005533
test-2373,verify_top_up,gemini,True,True,True,ok,0.94,0.000702162,1918.5246620000107
test-2374,verify_top_up,gemini,True,True,True,ok,0.75,0.0006928679999999999,1868.3794559999951
test-2377,verify_top_up,gemini,True,True,True,ok,0.82,0.0006749099999999999,2250.719653999957
test-2383,verify_top_up,gemini,True,True,True,ok,0.92,0.000695202,1595.3489350000164
test-2384,verify_top_up,gemini,True,True,True,ok,0.97,0.000698994,1974.4978679999476
test-2391,verify_top_up,gemini,True,True,True,ok,0.99,0.000677286,1848.2831089999527
test-2396,verify_top_up,gemini,True,True,True,ok,0.98,0.0006944519999999999,1806.0064110000385
test-2400,getting_spare_card,gemini,True,True,True,ok,0.93,0.00069666,1704.7103669999633
test-2411,getting_spare_card,gemini,True,True,True,ok,0.95,0.000697452,1651.57095199998
test-2413,getting_spare_card,gemini,False,True,True,ok,0.52,0.00069666,3977.114579999994
test-2427,getting_spare_card,gemini,True,True,True,ok,0.63,0.00067812,1971.182198000024
test-2434,getting_spare_card,gemini,True,True,True,ok,0.79,0.0006765359999999999,1972.7969070000108
test-2439,getting_spare_card,gemini,False,False,False,ok,0.27,0.001655286,6549.733443000005
test-244,fiat_currency_support,gemini,True,True,True,ok,0.89,0.0006958680000000001,1641.418542999978
test-2440,top_up_by_cash_or_cheque,jev,True,True,True,ok,1,6.7326e-05,396.60960800002795
test-2447,top_up_by_cash_or_cheque,jev,True,True,True,ok,1,6.7914e-05,332.80920499999775
test-2448,top_up_by_cash_or_cheque,jev,True,True,True,ok,1,6.7536e-05,315.34352499991655
test-245,fiat_currency_support,gemini,True,True,True,ok,0.8,0.000694284,2060.443978000083
test-2450,top_up_by_cash_or_cheque,gemini,True,True,True,ok,0.99,0.00069666,1869.2849149999965
test-2469,top_up_by_cash_or_cheque,gemini,False,True,True,ok,0.47,0.0016874519999999999,2779.9606340000173
test-2473,top_up_by_cash_or_cheque,jev,True,True,True,ok,1,6.7452e-05,998.2384529999981
test-2476,top_up_by_cash_or_cheque,jev,True,True,True,ok,1,6.7326e-05,367.67439099994954
test-2484,order_physical_card,gemini,False,True,True,ok,0.63,0.00066645,1668.4337210000958
test-2490,order_physical_card,gemini,False,True,True,ok,0.5,0.000694284,1543.9899000000441
test-2501,order_physical_card,gemini,False,True,True,ok,0.87,0.000691326,2216.587657999946
test-2502,order_physical_card,gemini,False,True,True,ok,0.88,0.0006749519999999999,1813.7085100000259
test-2504,order_physical_card,gemini,False,True,True,ok,0.88,0.0006958680000000001,1666.2941309999442
test-2505,order_physical_card,gemini,False,True,True,ok,0.88,0.0006937019999999999,2037.8109549999936
test-2511,order_physical_card,gemini,False,False,False,ok,0.63,0.000692118,2374.691338000004
test-2526,virtual_card_not_working,gemini,False,False,False,ok,0.77,0.000679704,3469.7096540000057
test-2530,virtual_card_not_working,gemini,True,True,True,ok,0.98,0.0006958680000000001,1723.0318259999913
test-2540,virtual_card_not_working,jev,True,True,True,ok,1,6.7536e-05,357.09152200003155
test-2549,virtual_card_not_working,gemini,True,True,True,ok,0.99,0.0006950760000000001,1735.4777460000041
test-2551,virtual_card_not_working,gemini,False,True,True,ok,0.82,0.000702204,2015.6373250000179
test-2554,virtual_card_not_working,jev,True,True,True,ok,1,6.7326e-05,337.21463400000357
test-2566,wrong_exchange_rate_for_cash_withdrawal,gemini,True,True,True,ok,0.99,0.000944952,2565.3540189999912
test-2571,wrong_exchange_rate_for_cash_withdrawal,gemini,False,False,False,ok,0.99,0.0006958680000000001,3984.32134200001
test-2574,wrong_exchange_rate_for_cash_withdrawal,gemini,True,True,True,ok,0.99,0.0006944939999999999,1825.4005569999572
test-2576,wrong_exchange_rate_for_cash_withdrawal,gemini,False,False,False,ok,0.87,0.000691626,1766.0661909999908
test-2585,wrong_exchange_rate_for_cash_withdrawal,gemini,True,True,True,ok,0.57,0.000697452,1711.357147999981
test-2598,wrong_exchange_rate_for_cash_withdrawal,jev,True,True,True,ok,1,6.741e-05,275.7757780000029
test-2600,get_disposable_virtual_card,gemini,True,True,True,ok,0.92,0.000699828,1737.9803450000472
test-2611,get_disposable_virtual_card,jev,True,True,True,ok,1,6.7536e-05,373.8540309999953
test-2617,get_disposable_virtual_card,gemini,True,True,True,ok,0.99,0.000671994,1882.1651130000828
test-262,fiat_currency_support,gemini,True,True,True,ok,0.56,0.000672576,1644.2890910000133
test-263,fiat_currency_support,gemini,True,True,True,ok,0.78,0.000697452,2175.6525599999586
test-2632,get_disposable_virtual_card,jev,True,True,True,ok,1,6.741e-05,658.6927300000098
test-2635,get_disposable_virtual_card,jev,True,True,True,ok,1,6.741e-05,367.29804100000183
test-2636,get_disposable_virtual_card,gemini,True,True,True,ok,0.98,0.0006950760000000001,2571.3473299999896
test-2640,top_up_failed,gemini,True,True,True,ok,0.99,0.000957576,2158.8921030000784
